case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
1,18.040,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
2,19.220,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
3,18.800,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
4,18.760,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
5,22.080,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
6,20.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
7,20.640,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
8,20.600,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
9,20.180,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
10,19.720,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
11,20.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
12,20.080,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
13,20.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
14,20.320,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
15,22.520,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
16,19.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
17,18.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
18,17.580,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
19,18.280,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
20,18.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
21,20.760,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
22,20.820,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
23,22.060,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
24,19.080,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
25,20.560,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
26,20.700,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
27,20.420,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
