case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
1,18.980,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
2,18.920,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
3,19.220,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
4,19.800,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x128_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
5,23.140,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
6,20.840,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
7,21.220,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
8,21.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x160_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
9,19.340,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
10,21.600,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
11,20.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
12,20.200,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x192_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
13,19.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
14,21.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
15,21.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
16,21.300,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x224_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
17,19.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
18,18.260,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
19,18.220,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
20,18.840,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x256_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
21,20.260,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
22,20.560,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
23,21.180,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
24,19.040,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x288_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
25,21.020,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
26,20.320,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
27,20.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
28,20.080,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x320_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
29,20.980,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x352_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
30,20.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x352_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
31,21.220,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x352_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
32,20.340,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x352_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
33,20.440,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
34,19.500,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
35,19.700,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
36,19.060,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x384_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
37,20.880,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
38,20.580,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
39,20.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
40,19.800,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x416_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
41,20.300,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
42,20.960,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
43,21.600,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
44,20.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x448_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
45,22.520,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
46,21.780,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
47,22.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
48,21.600,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x480_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
49,20.100,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
50,19.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
51,19.540,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
52,19.820,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x128x512_128x128x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
53,22.380,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
54,22.260,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
55,22.340,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
56,22.420,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
